Temps t / s;Tension U_B1 / V;Tension U_A1 / V
8,54;0,1017;4,535
8,56;0,10185;4,665
8,58;0,1011;4,795
8,6;0,1011;4,925
8,62;0,1011;5,05
8,64;0,102;5,18
8,66;0,102;5,31
8,68;0,10305;5,44
8,7;0,10425;5,57
8,72;0,10425;5,705
8,74;0,10395;5,835
8,76;0,1035;5,97
8,78;0,10395;6,095
8,8;0,105;6,23
8,82;0,1056;6,365
8,84;0,10605;6,495
8,86;0,10515;6,63
8,88;0,1044;6,76
8,9;0,10395;6,895
8,92;0,1035;7,025
8,94;0,10245;7,155
8,96;0,1008;7,28
8,98;0,09945;7,405
9;0,0978;7,53
9,02;0,0963;7,65
9,04;0,0933;7,765
9,06;0,09015;7,875
9,08;0,08655;7,985
9,1;0,0825;8,085
9,12;0,0783;8,185
9,14;0,0741;8,275
9,16;0,06915;8,36
9,18;0,0645;8,44
9,2;0,0591;8,51
9,22;0,05325;8,575
9,24;0,04665;8,63
9,26;0,04065;8,68
9,28;0,0333;8,72
9,3;0,0264;8,75
9,32;0,01905;8,77
9,34;0,0123;8,78
9,36;0,00495;8,785
9,38;-0,00135;8,78
9,4;-0,0078;8,765
9,42;-0,01455;8,745
9,44;-0,0219;8,715
9,46;-0,0288;8,675
9,48;-0,03555;8,625
9,5;-0,04155;8,57
9,52;-0,04725;8,505
9,54;-0,05235;8,435
9,56;-0,05865;8,36
9,58;-0,06345;8,275
9,6;-0,06765;8,19
9,62;-0,07155;8,095
9,64;-0,075;8
9,66;-0,0801;7,89
9,68;-0,08385;7,78
9,7;-0,08685;7,67
9,72;-0,08895;7,555
9,74;-0,09045;7,44
9,76;-0,09255;7,32
9,78;-0,0954;7,2
9,8;-0,0969;7,075
9,82;-0,0984;6,945
9,84;-0,0993;6,82
9,86;-0,10065;6,69
9,88;-0,10065;6,565
9,9;-0,10065;6,435
9,92;-0,10155;6,305
9,94;-0,1032;6,17
9,96;-0,10335;6,04
9,98;-0,10335;5,905
10;-0,1032;5,775
10,02;-0,1041;5,645
10,04;-0,10545;5,505
10,06;-0,10545;5,37
10,08;-0,10545;5,235
10,1;-0,1056;5,1
10,12;-0,1062;4,965
10,14;-0,1068;4,825
10,16;-0,10665;4,695
10,18;-0,1068;4,555
10,2;-0,1074;4,415
10,22;-0,10755;4,28
10,24;-0,1083;4,14
10,26;-0,1083;4
10,28;-0,1083;3,86
10,3;-0,10785;3,725
