Temps t / s;Tension U_B1 / V;Tension U_A1 / V
7,94;0,00845;6,065
7,96;0,00845;6,085
7,98;0,0088;6,095
8;0,00925;6,115
8,02;0,0096;6,125
8,04;0,01025;6,145
8,06;0,01045;6,16
8,08;0,01105;6,18
8,1;0,01165;6,2
8,12;0,01225;6,215
8,14;0,0129;6,235
8,16;0,0135;6,255
8,18;0,0139;6,275
8,2;0,0144;6,3
8,22;0,0146;6,325
8,24;0,01515;6,345
8,26;0,01535;6,37
8,28;0,01535;6,39
8,3;0,0154;6,415
8,32;0,01515;6,44
8,34;0,01515;6,46
8,36;0,01505;6,48
8,38;0,01505;6,505
8,4;0,015;6,53
8,42;0,0151;6,55
8,44;0,0151;6,57
8,46;0,0147;6,595
8,48;0,0144;6,615
8,5;0,014;6,64
8,52;0,0137;6,66
8,54;0,0133;6,68
8,56;0,01285;6,695
8,58;0,01255;6,715
8,6;0,0124;6,735
8,62;0,012;6,75
8,64;0,01165;6,77
8,66;0,01125;6,79
8,68;0,01075;6,805
8,7;0,0101;6,825
8,72;0,00945;6,835
8,74;0,0087;6,85
8,76;0,00815;6,865
8,78;0,00745;6,875
8,8;0,0067;6,89
8,82;0,0059;6,9
8,84;0,00495;6,91
8,86;0,00405;6,92
8,88;0,00315;6,925
8,9;0,0022;6,93
8,92;0,0014;6,935
8,94;0,0005;6,94
8,96;-0,00055;6,94
8,98;-0,0015;6,945
9;-0,0025;6,94
9,02;-0,0033;6,94
9,04;-0,00415;6,94
9,06;-0,00505;6,94
9,08;-0,00585;6,93
9,1;-0,00665;6,925
9,12;-0,0074;6,92
9,14;-0,0082;6,91
9,16;-0,0092;6,905
9,18;-0,01;6,895
9,2;-0,01075;6,885
9,22;-0,01135;6,875
9,24;-0,0119;6,86
9,26;-0,0123;6,85
9,28;-0,01275;6,835
9,3;-0,01325;6,82
9,32;-0,0138;6,805
9,34;-0,01465;6,79
9,36;-0,0152;6,78
9,38;-0,01605;6,76
9,4;-0,0163;6,745
9,42;-0,017;6,725
9,44;-0,01725;6,705
9,46;-0,0174;6,685
9,48;-0,01725;6,67
9,5;-0,01765;6,65
9,52;-0,0181;6,63
9,54;-0,0187;6,605
9,56;-0,01905;6,59
9,58;-0,0194;6,565
9,6;-0,01965;6,545
9,62;-0,02005;6,525
9,64;-0,0202;6,5
9,66;-0,02045;6,475
9,68;-0,02035;6,455
9,7;-0,02045;6,435
9,72;-0,0203;6,41
9,74;-0,01995;6,39
9,76;-0,01995;6,365
9,78;-0,0194;6,345
9,8;-0,0191;6,325
9,82;-0,01855;6,305
9,84;-0,01795;6,285
9,86;-0,01795;6,27
9,88;-0,0176;6,25
9,9;-0,01735;6,23
9,92;-0,0171;6,21
9,94;-0,01665;6,195
9,96;-0,01615;6,175
9,98;-0,016;6,16
10;-0,01545;6,14
10,02;-0,015;6,13
10,04;-0,01455;6,11
10,06;-0,0141;6,1
10,08;-0,01355;6,085
10,1;-0,0129;6,07
10,12;-0,0124;6,06
10,14;-0,0118;6,045
10,16;-0,01105;6,035
10,18;-0,01035;6,025
10,2;-0,00955;6,015
10,22;-0,0089;6,015
10,24;-0,00825;6
10,26;-0,0076;5,995
10,28;-0,0068;5,99
10,3;-0,00615;5,985
10,32;-0,0055;5,985
10,34;-0,0049;5,98
10,36;-0,0042;5,975
10,38;-0,00365;5,98
10,4;-0,003;5,975
10,42;-0,00235;5,975
10,44;-0,0018;5,98
10,46;-0,0011;5,975
10,48;-0,0005;5,98
10,5;0,0002;5,985
10,52;0,00085;5,99
10,54;0,0013;5,995
10,56;0,00195;6
10,58;0,00255;6,01
10,6;0,0033;6,015
10,62;0,0039;6,02
10,64;0,00445;6,03
10,66;0,0051;6,04
10,68;0,0056;6,05
10,7;0,0059;6,06
10,72;0,00675;6,075
10,74;0,00765;6,085
10,76;0,0077;6,1
10,78;0,00805;6,11
10,8;0,0084;6,13
10,82;0,00895;6,14
10,84;0,00935;6,155
10,86;0,0098;6,17
10,88;0,01025;6,185
10,9;0,01095;6,205
10,92;0,0115;6,22
10,94;0,01215;6,24
10,96;0,0128;6,26
10,98;0,0133;6,275
11;0,0138;6,3
11,02;0,01425;6,32
11,04;0,0147;6,345
11,06;0,01495;6,365
11,08;0,0152;6,385
11,1;0,0151;6,41
11,12;0,01495;6,43
11,14;0,0149;6,455
11,16;0,0149;6,475
11,18;0,0149;6,495
11,2;0,015;6,52
11,22;0,0151;6,54
11,24;0,0151;6,56
11,26;0,0151;6,58
11,28;0,0148;6,605
11,3;0,0145;6,625
11,32;0,01425;6,645
11,34;0,01375;6,665
11,36;0,0134;6,685
11,38;0,013;6,705
11,4;0,01265;6,72
11,42;0,01255;6,74
11,44;0,01235;6,76
11,46;0,0117;6,775
11,48;0,01135;6,795
11,5;0,0108;6,81
11,52;0,0102;6,825
11,54;0,00965;6,845
11,56;0,00885;6,855
11,58;0,00835;6,865
11,6;0,0077;6,88
11,62;0,0071;6,89
11,64;0,0063;6,9
11,66;0,00545;6,91
11,68;0,0046;6,92
11,7;0,0036;6,925
11,72;0,00275;6,935
11,74;0,00185;6,935
11,76;0,0008;6,94
11,78;-5E-05;6,945
11,8;-0,00105;6,945
11,82;-0,00205;6,945
11,84;-0,00275;6,94
11,86;-0,00365;6,94
11,88;-0,00465;6,94
11,9;-0,0054;6,93
11,92;-0,0063;6,925
11,94;-0,00705;6,92
11,96;-0,00785;6,915
11,98;-0,00875;6,905
12;-0,0095;6,895
12,02;-0,01005;6,885
12,04;-0,01075;6,87
12,06;-0,0113;6,86
12,08;-0,01175;6,85
12,1;-0,01235;6,835
12,12;-0,01275;6,82
12,14;-0,0132;6,805
12,16;-0,01405;6,795
12,18;-0,01465;6,775
12,2;-0,01535;6,76
12,22;-0,0159;6,74
12,24;-0,0163;6,725
12,26;-0,0167;6,705
12,28;-0,01695;6,685
12,3;-0,01705;6,665
12,32;-0,01705;6,65
12,34;-0,0175;6,63
12,36;-0,0181;6,605
12,38;-0,01875;6,585
12,4;-0,0191;6,565
12,42;-0,01925;6,54
12,44;-0,0195;6,525
12,46;-0,01985;6,5
12,48;-0,02;6,475
12,5;-0,0201;6,45
12,52;-0,02035;6,43
12,54;-0,02015;6,405
12,56;-0,01995;6,38
12,58;-0,01965;6,36
12,6;-0,0193;6,34
12,62;-0,019;6,32
12,64;-0,01825;6,295
12,66;-0,0181;6,275
12,68;-0,0181;6,255
12,7;-0,01785;6,24
12,72;-0,01745;6,22
12,74;-0,0171;6,2
12,76;-0,0166;6,18
12,78;-0,01645;6,16
12,8;-0,01615;6,145
12,82;-0,0157;6,125
12,84;-0,0152;6,11
12,86;-0,01475;6,095
12,88;-0,01415;6,08
12,9;-0,0136;6,065
12,92;-0,0129;6,05
12,94;-0,0123;6,04
12,96;-0,01175;6,025
12,98;-0,01125;6,015
13;-0,0108;6,005
13,02;-0,01;5,995
13,04;-0,0093;5,985
13,06;-0,00875;5,975
13,08;-0,008;5,97
13,1;-0,0074;5,965
13,12;-0,0067;5,96
13,14;-0,00595;5,95
13,16;-0,0053;5,945
13,18;-0,00465;5,945
13,2;-0,00395;5,94
13,22;-0,0033;5,94
13,24;-0,0027;5,94
13,26;-0,00205;5,94
13,28;-0,00125;5,94
13,3;-0,00055;5,945
13,32;-5E-05;5,945
13,34;0,0006;5,95
13,36;0,00105;5,955
13,38;0,00165;5,96
13,4;0,00225;5,97
13,42;0,0028;5,975
13,44;0,00345;5,975
13,46;0,00415;5,985
13,48;0,00465;5,995
13,5;0,0053;6,005
13,52;0,00585;6,015
13,54;0,00635;6,025
13,56;0,00705;6,035
13,58;0,00755;6,05
13,6;0,0083;6,065
13,62;0,009;6,075
13,64;0,0091;6,09
13,66;0,00945;6,1
13,68;0,00995;6,12
13,7;0,01045;6,13
13,72;0,0109;6,15
13,74;0,0112;6,165
13,76;0,0118;6,185
13,78;0,01245;6,2
13,8;0,0131;6,22
13,82;0,01375;6,24
13,84;0,0143;6,26
13,86;0,0149;6,285
13,88;0,01515;6,305
13,9;0,0156;6,325
13,92;0,01615;6,35
13,94;0,01625;6,37
13,96;0,0163;6,395
13,98;0,01615;6,42
14;0,01595;6,44
14,02;0,01595;6,46
14,04;0,016;6,485
14,06;0,016;6,505
14,08;0,01605;6,53
14,1;0,0162;6,555
14,12;0,01615;6,575
14,14;0,01565;6,595
14,16;0,01545;6,62
14,18;0,01505;6,64
14,2;0,01465;6,665
14,22;0,0142;6,68
14,24;0,01395;6,7
14,26;0,0136;6,72
14,28;0,0136;6,74
14,3;0,0132;6,755
14,32;0,0126;6,775
14,34;0,01215;6,795
14,36;0,0116;6,81
14,38;0,01105;6,825
14,4;0,01055;6,84
14,42;0,0097;6,855
14,44;0,00925;6,87
14,46;0,0085;6,88
14,48;0,00785;6,89
14,5;0,007;6,905
14,52;0,0062;6,915
14,54;0,0053;6,92
14,56;0,00435;6,93
14,58;0,00325;6,935
14,6;0,0025;6,945
14,62;0,00165;6,945
14,64;0,0008;6,95
14,66;-0,0002;6,95
14,68;-0,00125;6,95
14,7;-0,0023;6,95
14,72;-0,00315;6,945
14,74;-0,00415;6,94
14,76;-0,005;6,935
14,78;-0,00565;6,93
14,8;-0,00655;6,925
14,82;-0,0074;6,92
14,84;-0,0083;6,91
14,86;-0,00915;6,905
14,88;-0,0098;6,89
14,9;-0,0103;6,875
14,92;-0,0109;6,87
14,94;-0,0113;6,85
14,96;-0,012;6,84
14,98;-0,01255;6,825
15;-0,01295;6,81
15,02;-0,01375;6,795
15,04;-0,01435;6,78
15,06;-0,0149;6,76
15,08;-0,01555;6,745
15,1;-0,0158;6,725
15,12;-0,0162;6,71
15,14;-0,01635;6,69
15,16;-0,01655;6,67
15,18;-0,01685;6,655
15,2;-0,01715;6,635
15,22;-0,01775;6,605
15,24;-0,0182;6,59
15,26;-0,0186;6,57
15,28;-0,0187;6,545
15,3;-0,019;6,52
15,32;-0,0191;6,5
15,34;-0,01925;6,48
15,36;-0,01935;6,455
15,38;-0,01935;6,43
15,4;-0,01915;6,405
15,42;-0,01885;6,385
15,44;-0,0186;6,36
15,46;-0,0181;6,345
15,48;-0,0179;6,32
15,5;-0,0172;6,3
15,52;-0,01695;6,28
15,54;-0,01685;6,265
15,56;-0,0165;6,24
15,58;-0,0163;6,22
15,6;-0,0159;6,2
15,62;-0,0154;6,185
15,64;-0,01505;6,165
15,66;-0,0147;6,15
15,68;-0,01435;6,13
15,7;-0,0137;6,115
15,72;-0,0133;6,1
15,74;-0,01275;6,085
15,76;-0,01215;6,07
15,78;-0,01155;6,055
15,8;-0,0108;6,045
15,82;-0,0102;6,03
15,84;-0,0097;6,02
15,86;-0,0092;6,01
15,88;-0,0085;6
15,9;-0,00765;5,99
15,92;-0,00705;5,985
15,94;-0,0063;5,975
15,96;-0,00555;5,97
15,98;-0,0049;5,965
16;-0,00405;5,96
16,02;-0,00325;5,955
16,04;-0,0026;5,955
16,06;-0,00205;5,95
16,08;-0,0015;5,95
16,1;-0,0008;5,95
16,12;-5E-05;5,95
16,14;0,00065;5,955
16,16;0,0012;5,95
16,18;0,0019;5,955
16,2;0,0025;5,96
16,22;0,00305;5,96
16,24;0,0037;5,97
16,26;0,00455;5,975
16,28;0,00495;5,98
16,3;0,0055;5,99
16,32;0,0062;5,995
16,34;0,007;6
16,36;0,00765;6,015
16,38;0,00825;6,025
16,4;0,00875;6,035
16,42;0,00935;6,045
16,44;0,0099;6,06
16,46;0,0108;6,07
16,48;0,01115;6,085
16,5;0,0112;6,1
16,52;0,01165;6,11
16,54;0,0121;6,13
16,56;0,01265;6,145
16,58;0,013;6,16
16,6;0,0135;6,175
16,62;0,0141;6,195
16,64;0,01475;6,215
16,66;0,01545;6,235
16,68;0,01605;6,25
16,7;0,01665;6,27
16,72;0,0171;6,295
16,74;0,01745;6,315
16,76;0,01785;6,335
16,78;0,01825;6,36
16,8;0,0183;6,38
16,82;0,01835;6,405
16,84;0,0183;6,43
16,86;0,01825;6,45
16,88;0,0183;6,475
16,9;0,0182;6,495
16,92;0,0184;6,515
16,94;0,01835;6,54
16,96;0,01845;6,56
16,98;0,01835;6,585
17;0,01805;6,605
17,02;0,0177;6,63
17,04;0,01725;6,65
17,06;0,0169;6,665
17,08;0,0167;6,69
17,1;0,0163;6,71
17,12;0,01605;6,73
17,14;0,01595;6,745
17,16;0,01555;6,765
17,18;0,01505;6,78
17,2;0,01455;6,8
17,22;0,0139;6,815
17,24;0,0135;6,83
17,26;0,01285;6,845
17,28;0,01245;6,86
17,3;0,01175;6,87
17,32;0,01115;6,88
17,34;0,0103;6,895
17,36;0,00945;6,905
17,38;0,0087;6,915
17,4;0,0077;6,925
17,42;0,0068;6,93
17,44;0,006;6,94
17,46;0,00515;6,94
17,48;0,0042;6,945
17,5;0,0033;6,95
17,52;0,0022;6,95
17,54;0,0013;6,945
17,56;0,00035;6,945
17,58;-0,00045;6,945
17,6;-0,00125;6,945
17,62;-0,00215;6,935
17,64;-0,003;6,93
17,66;-0,0038;6,925
17,68;-0,0046;6,92
17,7;-0,00555;6,905
17,72;-0,0062;6,9
17,74;-0,0069;6,885
17,76;-0,0075;6,875
17,78;-0,00805;6,865
17,8;-0,0084;6,85
17,82;-0,0091;6,835
17,84;-0,00935;6,825
17,86;-0,00985;6,805
17,88;-0,01055;6,795
17,9;-0,01115;6,775
17,92;-0,01175;6,76
17,94;-0,01215;6,74
17,96;-0,01255;6,72
17,98;-0,01285;6,705
18;-0,013;6,685
18,02;-0,0129;6,665
18,04;-0,0134;6,645
18,06;-0,01385;6,63
18,08;-0,0144;6,61
18,1;-0,01495;6,585
18,12;-0,0151;6,565
18,14;-0,01545;6,54
18,16;-0,01565;6,52
18,18;-0,0159;6,495
18,2;-0,016;6,475
18,22;-0,0161;6,455
18,24;-0,01625;6,43
18,26;-0,01595;6,41
18,28;-0,01565;6,385
18,3;-0,0154;6,365
18,32;-0,01505;6,34
18,34;-0,0147;6,325
18,36;-0,0138;6,305
18,38;-0,01375;6,28
18,4;-0,01365;6,26
18,42;-0,01345;6,24
18,44;-0,013;6,225
18,46;-0,0127;6,205
18,48;-0,0123;6,185
18,5;-0,012;6,17
18,52;-0,0117;6,155
18,54;-0,01125;6,135
18,56;-0,01065;6,12
18,58;-0,01015;6,105
18,6;-0,00965;6,09
18,62;-0,0091;6,075
18,64;-0,00845;6,06
18,66;-0,0078;6,055
18,68;-0,0071;6,04
18,7;-0,00635;6,03
18,72;-0,0059;6,02
18,74;-0,0054;6,01
18,76;-0,00475;6
18,78;-0,00405;5,995
18,8;-0,00335;5,99
18,82;-0,00265;5,98
18,84;-0,00195;5,975
18,86;-0,00135;5,97
18,88;-0,0006;5,97
18,9;-5E-05;5,965
18,92;0,00065;5,965
18,94;0,00145;5,965
18,96;0,0021;5,965
18,98;0,00275;5,965
19;0,0034;5,965
19,02;0,0039;5,97
19,04;0,00445;5,97
19,06;0,00515;5,975
19,08;0,0058;5,98
19,1;0,0067;5,985
19,12;0,00715;5,99
19,14;0,0077;6
19,16;0,00815;6,005
19,18;0,0091;6,015
19,2;0,0097;6,025
19,22;0,01025;6,035
19,24;0,01085;6,045
19,26;0,01145;6,055
19,28;0,012;6,07
19,3;0,0129;6,08
19,32;0,01315;6,095
19,34;0,01335;6,105
19,36;0,01365;6,125
19,38;0,0141;6,135
19,4;0,01465;6,155
19,42;0,01495;6,165
19,44;0,0154;6,185
19,46;0,016;6,2
19,48;0,01665;6,225
19,5;0,01735;6,24
19,52;0,0179;6,26
19,54;0,01845;6,28
19,56;0,019;6,3
19,58;0,0195;6,32
19,6;0,01995;6,345
19,62;0,0202;6,365
19,64;0,02035;6,39
19,66;0,02025;6,41
19,68;0,0201;6,43
19,7;0,0201;6,455
19,72;0,02015;6,48
19,74;0,02005;6,5
19,76;0,0201;6,525
19,78;0,0202;6,54
19,8;0,0204;6,565
19,82;0,0203;6,59
19,84;0,02;6,61
19,86;0,01975;6,63
19,88;0,0193;6,655
19,9;0,01885;6,67
19,92;0,01865;6,69
19,94;0,01815;6,71
19,96;0,018;6,73
19,98;0,01765;6,745
20;0,0173;6,765
20,02;0,0168;6,785
20,04;0,01635;6,8
20,06;0,01575;6,815
20,08;0,0151;6,83
20,1;0,0146;6,845
20,12;0,014;6,86
20,14;0,0134;6,87
20,16;0,01265;6,885
20,18;0,01185;6,895
20,2;0,01135;6,905
20,22;0,0105;6,915
20,24;0,0096;6,925
20,26;0,0086;6,93
20,28;0,00765;6,935
20,3;0,0068;6,94
20,32;0,00595;6,945
20,34;0,0049;6,95
20,36;0,00395;6,95
20,38;0,00305;6,95
20,4;0,0022;6,95
20,42;0,0013;6,945
20,44;0,00045;6,94
20,46;-0,00025;6,935
20,48;-0,00125;6,93
20,5;-0,00205;6,925
20,52;-0,00285;6,915
20,54;-0,00385;6,91
20,56;-0,0046;6,9
20,58;-0,0053;6,89
20,6;-0,0059;6,88
20,62;-0,0065;6,865
20,64;-0,0069;6,85
20,66;-0,0076;6,84
20,68;-0,00795;6,825
20,7;-0,00855;6,81
20,72;-0,00925;6,795
20,74;-0,0098;6,78
