Temps t / s;Tension U_A1 / V;Tension U_B1 / V
44,1;4,705;-0,0148
44,2;4,59;-0,01645
44,3;4,465;-0,01805
44,401;4,33;-0,01965
44,5;4,19;-0,02075
44,6;4,04;-0,0219
44,699;3,89;-0,0216
44,799;3,735;-0,02235
44,9;3,585;-0,02085
45;3,445;-0,01885
45,1;3,325;-0,01585
45,199;3,23;-0,01115
45,3;3,165;-0,0058
45,4;3,135;-0,0005
45,5;3,14;0,0046
45,6;3,175;0,01
45,7;3,245;0,01435
45,8;3,33;0,01735
45,899;3,44;0,0206
46;3,565;0,0223
46,1;3,695;0,0228
46,2;3,825;0,02295
46,3;3,955;0,02225
46,399;4,075;0,0215
46,499;4,19;0,0199
46,6;4,29;0,0176
46,699;4,38;0,0154
46,8;4,45;0,01275
46,9;4,505;0,00945
46,999;4,54;0,0069
47,099;4,555;0,0033
47,2;4,545;0,00015
47,299;4,52;-0,00255
47,4;4,475;-0,0057
47,5;4,415;-0,00835
47,599;4,34;-0,0108
47,7;4,245;-0,01405
47,8;4,13;-0,0167
47,9;4;-0,01935
47,999;3,855;-0,021
48,099;3,7;-0,02305
48,199;3,53;-0,02335
48,3;3,37;-0,02355
48,399;3,215;-0,02085
48,5;3,08;-0,0175
48,6;2,97;-0,013
48,7;2,9;-0,00645
48,799;2,87;-0,00025
48,9;2,88;0,00645
49;2,935;0,01265
49,099;3,02;0,01785
49,201;3,145;0,02345
49,3;3,29;0,0268
49,399;3,46;0,0303
49,5;3,635;0,031
49,6;3,825;0,03175
49,701;4,01;0,0315
49,801;4,195;0,03105
49,9;4,375;0,03085
50,001;4,56;0,03085
50,101;4,735;0,02915
50,199;4,895;0,02795
50,3;5,055;0,02725
50,4;5,21;0,02705
50,5;5,365;0,02575
50,6;5,505;0,0237
50,699;5,64;0,0232
50,8;5,77;0,02285
50,9;5,9;0,02265
51;6,02;0,02115
51,1;6,14;0,02075
51,2;6,25;0,0197
51,3;6,355;0,01795
51,4;6,44;0,0149
51,5;6,51;0,01225
51,6;6,565;0,00975
51,7;6,6;0,0069
51,799;6,62;0,00425
51,9;6,62;0,00205
52;6,615;0,0008
52,1;6,6;-0,0002
52,2;6,58;-0,0009
52,3;6,56;-0,0013
52,4;6,54;-0,00115
52,5;6,515;-0,0011
52,601;6,5;-5E-05
52,7;6,49;0,0015
52,8;6,495;0,0031
52,899;6,5;0,0045
53;6,525;0,00615
53,1;6,555;0,0074
53,199;6,59;0,00855
53,3;6,635;0,0094
53,399;6,68;0,01085
53,5;6,74;0,01195
53,6;6,8;0,0114
53,699;6,86;0,01175
53,8;6,92;0,0117
53,899;6,975;0,01095
53,999;7,025;0,00905
54,099;7,06;0,00685
54,2;7,075;0,00415
