Temps t / s;Tension U_B1 / V;Tension U_A1 / V
10,18;-0,0152;4,375
10,2;-0,0149;4,355
10,22;-0,01475;4,34
10,24;-0,01455;4,325
10,26;-0,0143;4,31
10,28;-0,01375;4,295
10,3;-0,01355;4,285
10,32;-0,0134;4,265
10,34;-0,01345;4,25
10,36;-0,01315;4,24
10,38;-0,013;4,225
10,4;-0,0129;4,21
10,42;-0,01265;4,195
10,44;-0,0126;4,185
10,46;-0,0123;4,17
10,48;-0,0119;4,16
10,5;-0,01135;4,15
10,52;-0,0107;4,135
10,54;-0,01075;4,125
10,56;-0,01085;4,115
10,58;-0,0107;4,1
10,6;-0,0104;4,095
10,62;-0,01025;4,08
10,64;-0,0101;4,07
10,66;-0,01;4,06
10,68;-0,00965;4,05
10,7;-0,0095;4,04
10,72;-0,00945;4,035
10,74;-0,0093;4,025
10,76;-0,00905;4,015
10,78;-0,00895;4,01
10,8;-0,00875;4
10,82;-0,00865;3,99
10,84;-0,00825;3,98
10,86;-0,00805;3,975
10,88;-0,00795;3,965
10,9;-0,0077;3,96
10,92;-0,0076;3,95
10,94;-0,00755;3,95
10,96;-0,00735;3,94
10,98;-0,00725;3,935
11;-0,0072;3,93
11,02;-0,00705;3,92
11,04;-0,0069;3,91
11,06;-0,00685;3,905
11,08;-0,00705;3,9
11,1;-0,007;3,895
11,12;-0,007;3,89
11,14;-0,00705;3,88
11,16;-0,0068;3,875
11,18;-0,0068;3,87
11,2;-0,00655;3,86
11,22;-0,0065;3,855
11,24;-0,00635;3,85
11,26;-0,0063;3,85
11,28;-0,00655;3,84
11,3;-0,0067;3,835
11,32;-0,0068;3,83
11,34;-0,0069;3,825
11,36;-0,0069;3,82
11,38;-0,007;3,81
11,4;-0,007;3,805
11,42;-0,0072;3,795
11,44;-0,0072;3,79
11,46;-0,00735;3,78
11,48;-0,0074;3,775
11,5;-0,0079;3,765
11,52;-0,0079;3,76
11,54;-0,00785;3,75
11,56;-0,0077;3,75
11,58;-0,00765;3,74
11,6;-0,00805;3,73
11,62;-0,00855;3,72
11,64;-0,00875;3,71
11,66;-0,00895;3,705
11,68;-0,00915;3,695
11,7;-0,00935;3,685
11,72;-0,0096;3,67
11,74;-0,0097;3,665
11,76;-0,00985;3,655
11,78;-0,01;3,645
11,8;-0,0103;3,63
11,82;-0,0104;3,625
11,84;-0,01055;3,61
11,86;-0,01075;3,6
11,88;-0,0113;3,585
11,9;-0,01165;3,575
11,92;-0,0121;3,565
11,94;-0,01235;3,55
11,96;-0,01275;3,53
11,98;-0,01305;3,52
12;-0,01335;3,505
12,02;-0,01365;3,495
12,04;-0,01385;3,475
12,06;-0,0141;3,46
12,08;-0,0142;3,445
12,1;-0,01435;3,43
12,12;-0,01455;3,41
12,14;-0,01475;3,395
12,16;-0,01485;3,38
12,18;-0,015;3,36
12,2;-0,015;3,345
12,22;-0,015;3,325
12,24;-0,01525;3,31
12,26;-0,01505;3,3
12,28;-0,0148;3,275
12,3;-0,01515;3,26
12,32;-0,0154;3,245
12,34;-0,01565;3,225
12,36;-0,01585;3,21
12,38;-0,01595;3,19
12,4;-0,0159;3,17
12,42;-0,01615;3,16
12,44;-0,0161;3,14
12,46;-0,016;3,12
12,48;-0,01585;3,1
12,5;-0,0156;3,08
12,52;-0,01525;3,07
12,54;-0,01505;3,05
12,56;-0,01445;3,035
12,58;-0,01405;3,02
12,6;-0,0137;3,005
12,62;-0,0132;2,99
12,64;-0,01275;2,975
12,66;-0,01215;2,965
12,68;-0,01165;2,955
12,7;-0,01135;2,935
12,72;-0,011;2,925
12,74;-0,01055;2,92
12,76;-0,0102;2,905
12,78;-0,00965;2,895
12,8;-0,00905;2,885
12,82;-0,0084;2,88
12,84;-0,0078;2,87
12,86;-0,00735;2,865
12,88;-0,00655;2,86
12,9;-0,0057;2,855
12,92;-0,0049;2,85
12,94;-0,00415;2,85
12,96;-0,00355;2,845
12,98;-0,00295;2,845
13;-0,00225;2,845
13,02;-0,0014;2,845
13,04;-0,00045;2,845
13,06;0,0001;2,85
13,08;0,001;2,855
13,1;0,0018;2,86
13,12;0,0023;2,865
13,14;0,00275;2,87
13,16;0,0033;2,875
13,18;0,0039;2,885
13,2;0,00445;2,89
13,22;0,00505;2,9
13,24;0,0056;2,91
13,26;0,0063;2,92
13,28;0,00675;2,93
13,3;0,0074;2,94
13,32;0,0082;2,955
13,34;0,0088;2,965
13,36;0,00985;2,98
13,38;0,0105;3
13,4;0,011;3,015
13,42;0,01165;3,035
13,44;0,01235;3,05
13,46;0,01305;3,065
13,48;0,01365;3,085
13,5;0,01365;3,11
13,52;0,0139;3,13
13,54;0,01435;3,145
13,56;0,01455;3,165
13,58;0,0149;3,19
13,6;0,01525;3,21
13,62;0,01575;3,235
13,64;0,0161;3,255
13,66;0,0164;3,275
13,68;0,0167;3,3
13,7;0,01715;3,325
13,72;0,0177;3,35
13,74;0,01805;3,375
13,76;0,0184;3,4
13,78;0,01875;3,425
13,8;0,01855;3,45
13,82;0,01865;3,475
13,84;0,0186;3,505
13,86;0,01865;3,525
13,88;0,01915;3,555
13,9;0,0187;3,58
13,92;0,01905;3,605
13,94;0,0192;3,63
13,96;0,0196;3,66
13,98;0,0196;3,685
14;0,0197;3,715
14,02;0,01985;3,74
14,04;0,01975;3,765
14,06;0,02;3,79
14,08;0,02;3,82
14,1;0,02035;3,85
14,12;0,0199;3,875
14,14;0,01985;3,9
14,16;0,0199;3,925
