Temps t / s;Tension U_A1 / V;Tension U_B1 / V
13,6;5,89;-0,02475
13,7;5,75;-0,0233
13,8;5,62;-0,02385
13,9;5,485;-0,0238
14;5,345;-0,0241
14,1;5,21;-0,02335
14,199;5,075;-0,02275
14,299;4,945;-0,0226
14,4;4,8;-0,02485
14,5;4,655;-0,02485
14,6;4,51;-0,0247
14,7;4,37;-0,0246
14,799;4,23;-0,0233
14,9;4,09;-0,0238
15;3,955;-0,0227
15,101;3,83;-0,0218
15,2;3,715;-0,0197
15,301;3,61;-0,0177
15,4;3,535;-0,01345
15,5;3,475;-0,0099
15,6;3,44;-0,0062
15,7;3,425;-0,00315
15,8;3,43;-0,0004
15,901;3,445;0,0011
16;3,475;0,0039
16,1;3,52;0,0056
16,2;3,57;0,0066
16,3;3,62;0,006
16,4;3,67;0,0055
16,5;3,71;0,00465
16,6;3,745;0,00305
16,7;3,765;5E-05
16,8;3,77;-0,002
16,9;3,765;-0,0035
17,001;3,745;-0,0069
17,1;3,715;-0,00755
17,2;3,67;-0,0093
17,299;3,615;-0,0103
17,401;3,535;-0,01485
17,5;3,46;-0,0145
17,6;3,375;-0,0148
17,699;3,295;-0,01385
17,8;3,21;-0,01475
17,9;3,13;-0,01295
18;3,065;-0,0111
18,101;3,02;-0,0079
18,201;3;-0,00435
18,301;3;-0,00095
18,4;3,02;0,00325
18,5;3,06;0,0068
18,6;3,13;0,01055
18,699;3,22;0,01435
18,8;3,315;0,0153
18,9;3,43;0,0166
19;3,555;0,0189
19,1;3,68;0,01935
19,2;3,815;0,0201
19,3;3,945;0,0201
19,399;4,08;0,0212
19,5;4,21;0,0195
19,6;4,34;0,0188
19,7;4,465;0,01785
19,801;4,59;0,01795
19,9;4,71;0,0177
19,999;4,825;0,0175
20,1;4,925;0,01515
20,2;5,02;0,01375
20,3;5,11;0,0131
20,4;5,195;0,012
20,5;5,27;0,01075
20,6;5,34;0,00925
20,701;5,39;0,0064
20,8;5,44;0,00575
20,9;5,47;0,0038
21;5,49;0,00195
21,1;5,5;0,0003
21,199;5,5;0,0006
21,301;5,49;-0,0031
21,4;5,48;-0,0027
21,5;5,46;-0,0035
21,6;5,44;-0,0043
21,699;5,41;-0,00355
21,799;5,38;-0,00405
21,9;5,345;-0,00575
22;5,31;-0,00605
22,1;5,27;-0,0065
22,2;5,23;-0,00605
22,3;5,195;-0,00555
22,401;5,16;-0,0058
22,5;5,135;-0,0041
22,6;5,115;-0,0035
22,699;5,095;-0,0006
22,8;5,085;-0,00105
22,9;5,085;0,00035
23;5,09;0,0012
23,101;5,1;0,00085
23,2;5,115;0,0035
23,3;5,135;0,0035
23,399;5,155;0,0057
23,5;5,185;0,0052
23,6;5,22;0,0063
23,7;5,26;0,00735
23,8;5,31;0,00805
23,9;5,355;0,00855
24;5,41;0,0089
24,099;5,46;0,00995
24,2;5,515;0,0087
24,299;5,56;0,00925
24,4;5,605;0,0075
24,5;5,645;0,0072
24,6;5,685;0,00685
24,699;5,72;0,00695
24,801;5,745;0,0038
24,9;5,77;0,0043
25,001;5,785;0,00175
25,099;5,795;0,0025
25,2;5,79;0,00145
25,3;5,795;0,00105
25,4;5,79;0,0009
25,499;5,785;0,00125
25,6;5,78;0,00105
25,7;5,78;-0,0001
25,8;5,78;0,00195
25,899;5,785;0,0029
26;5,795;0,0032
26,1;5,805;0,0038
26,199;5,82;0,00445
26,3;5,84;0,00505
26,4;5,865;0,00615
26,5;5,9;0,00635
26,6;5,945;0,00935
26,7;6;0,0115
26,8;6,07;0,01395
26,9;6,15;0,0153
27;6,245;0,0178
27,099;6,36;0,021
27,2;6,485;0,0218
27,301;6,62;0,0221
27,399;6,745;0,02265
27,499;6,88;0,0227
27,6;7,01;0,02245
27,7;7,135;0,0181
27,8;7,23;0,0146
27,9;7,29;0,00955
27,999;7,315;0,00375
28,099;7,305;-0,00095
28,2;7,26;-0,0075
28,3;7,175;-0,01335
28,4;7,065;-0,01695
28,5;6,935;-0,01925
28,6;6,79;-0,02155
28,699;6,635;-0,023
28,8;6,465;-0,02525
28,901;6,295;-0,0247
29;6,13;-0,02495
29,1;5,96;-0,02425
29,2;5,8;-0,0227
29,301;5,645;-0,0229
29,4;5,485;-0,0233
29,501;5,325;-0,0236
29,6;5,17;-0,02275
29,699;5,01;-0,0226
29,8;4,845;-0,02465
29,9;4,675;-0,0249
30;4,505;-0,025
30,101;4,335;-0,02535
30,2;4,16;-0,02535
30,3;3,99;-0,02505
30,4;3,82;-0,02455
30,5;3,66;-0,02275
30,6;3,515;-0,0194
30,699;3,39;-0,0163
30,8;3,29;-0,0122
30,899;3,22;-0,0067
31,001;3,185;-0,00145
31,1;3,185;0,0039
31,2;3,215;0,00875
31,3;3,275;0,01255
31,4;3,355;0,0153
31,5;3,445;0,0183
31,599;3,555;0,01965
31,7;3,665;0,01965
31,801;3,775;0,01925
31,9;3,88;0,0185
32;3,98;0,01635
32,101;4,06;0,01455
32,2;4,125;0,0118
32,3;4,175;0,00905
32,399;4,205;0,0059
32,499;4,215;0,0026
32,6;4,205;-0,0004
32,7;4,18;-0,00315
32,799;4,13;-0,0061
32,9;4,07;-0,009
33;3,985;-0,01185
33,1;3,885;-0,0143
33,2;3,77;-0,01625
33,3;3,645;-0,0188
33,4;3,505;-0,0195
33,5;3,37;-0,0198
33,6;3,23;-0,0187
33,699;3,115;-0,01525
33,801;3,015;-0,0121
33,9;2,94;-0,0072
34;2,905;-0,0017
34,099;2,905;0,0045
34,2;2,935;0,00995
34,3;3;0,01435
34,401;3,105;0,01965
34,5;3,23;0,0233
34,601;3,375;0,02635
34,7;3,54;0,02825
34,8;3,705;0,02945
34,9;3,88;0,0298
35;4,05;0,02985
35,1;4,225;0,02955
35,2;4,395;0,0293
35,3;4,565;0,0294
35,4;4,73;0,0278
35,5;4,885;0,0266
35,601;5,035;0,02565
35,7;5,185;0,02575
35,801;5,33;0,02485
35,9;5,46;0,0232
36;5,59;0,0221
36,101;5,71;0,0215
36,2;5,83;0,0215
36,3;5,95;0,0204
36,4;6,06;0,01935
36,501;6,16;0,0185
36,601;6,26;0,0174
36,7;6,345;0,01565
36,799;6,42;0,01305
36,9;6,475;0,0104
37;6,515;0,00775
37,101;6,54;0,0052
37,2;6,55;0,00375
37,299;6,55;0,0026
37,4;6,545;0,00165
37,5;6,535;0,00115
37,6;6,525;0,00055
37,7;6,515;0,00095
37,799;6,505;0,00135
37,901;6,5;0,002
38;6,505;0,00365
38,1;6,515;0,0049
38,2;6,535;0,00575
38,3;6,555;0,0068
38,4;6,59;0,0077
38,499;6,62;0,0084
38,6;6,66;0,00955
38,7;6,71;0,01065
38,799;6,765;0,01125
38,9;6,82;0,01125
39,001;6,875;0,01105
39,1;6,925;0,011
39,199;6,975;0,0101
39,3;7,02;0,0086
39,401;7,045;0,00595
39,501;7,06;0,0031
39,6;7,055;0,0007
39,7;7,035;-0,00155
39,799;6,995;-0,00375
39,9;6,945;-0,0062
39,999;6,88;-0,00775
40,1;6,81;-0,00935
40,2;6,725;-0,01115
40,3;6,635;-0,0118
40,4;6,535;-0,0137
40,5;6,425;-0,015
40,601;6,31;-0,0154
40,7;6,2;-0,0147
40,8;6,09;-0,0146
40,9;5,985;-0,01435
41,001;5,875;-0,014
41,1;5,78;-0,01265
41,199;5,685;-0,0116
41,3;5,595;-0,01105
41,4;5,51;-0,01115
41,499;5,425;-0,0104
41,6;5,345;-0,01005
41,7;5,265;-0,00885
41,8;5,2;-0,00725
41,9;5,14;-0,00665
41,999;5,08;-0,0054
42,1;5,035;-0,0042
42,2;4,995;-0,003
42,3;4,96;-0,0019
42,4;4,94;-0,001
42,5;4,92;0,00085
42,6;4,915;0,00225
42,7;4,92;0,00355
42,8;4,925;0,004
42,899;4,935;0,0046
43;4,95;0,00465
43,1;4,96;0,0043
43,2;4,975;0,00475
43,3;4,985;0,00455
43,399;5;0,0043
43,5;5,005;0,00325
43,6;5,005;0,00265
43,7;5;0,0017
43,8;4,99;0,00095
43,9;4,975;0
44,001;4,955;-0,00125
44,1;4,925;-0,0022
44,2;4,89;-0,00385
44,299;4,84;-0,0057
44,399;4,775;-0,0081
44,499;4,695;-0,011
44,6;4,595;-0,014
44,7;4,49;-0,01515
44,8;4,365;-0,0176
44,9;4,23;-0,0196
45;4,075;-0,0219
45,1;3,91;-0,02375
45,199;3,74;-0,0258
45,3;3,56;-0,02565
45,399;3,38;-0,02535
45,5;3,215;-0,02185
45,601;3,07;-0,01845
45,7;2,96;-0,0126
45,8;2,89;-0,00615
45,9;2,86;0,00065
46;2,88;0,0076
46,1;2,935;0,0142
46,2;3,025;0,0196
46,3;3,16;0,02505
46,402;3,315;0,02805
46,499;3,485;0,03105
46,599;3,675;0,03235
46,7;3,86;0,03295
46,8;4,055;0,0326
46,901;4,24;0,03145
47;4,425;0,03205
47,1;4,61;0,0314
47,2;4,785;0,02935
47,301;4,945;0,02775
47,401;5,105;0,0277
47,5;5,26;0,0274
47,601;5,41;0,02545
47,7;5,54;0,0237
47,8;5,67;0,02295
47,899;5,795;0,02205
48;5,92;0,02165
48,1;6,03;0,02005
48,2;6,14;0,0196
48,3;6,24;0,01845
48,4;6,335;0,01655
48,5;6,41;0,01385
48,6;6,47;0,0113
48,7;6,51;0,0088
48,8;6,54;0,00625
48,9;6,555;0,00435
49,001;6,56;0,0032
49,1;6,56;0,00225
49,2;6,555;0,00165
49,3;6,545;0,0015
49,399;6,535;0,00065
49,5;6,53;0,00195
49,6;6,535;0,0031
49,701;6,54;0,00435
49,8;6,555;0,00485
49,9;6,57;0,0057
50;6,595;0,00645
50,1;6,62;0,0072
50,2;6,655;0,00855
50,3;6,695;0,00925
50,401;6,745;0,0107
50,5;6,79;0,01045
50,6;6,84;0,0103
50,699;6,885;0,0094
50,8;6,935;0,00985
50,9;6,98;0,00865
51;7,015;0,00705
51,1;7,035;0,00475
51,199;7,035;0,0013
51,3;7,03;-0,0003
51,4;7;-0,0019
51,5;6,965;-0,0046
51,601;6,91;-0,00605
51,699;6,85;-0,00905
51,799;6,78;-0,01065
51,899;6,695;-0,0124
52;6,605;-0,01215
52,1;6,51;-0,01405
52,2;6,405;-0,0152
52,3;6,295;-0,01515
52,4;6,19;-0,01475
52,5;6,08;-0,015
52,6;5,975;-0,01455
52,699;5,875;-0,0139
52,8;5,78;-0,013
52,9;5,69;-0,01195
53,001;5,605;-0,01055
53,1;5,525;-0,011
53,2;5,44;-0,0107
53,3;5,37;-0,009
53,401;5,295;-0,00845
53,5;5,23;-0,00775
53,599;5,175;-0,00725
53,7;5,13;-0,0054
53,8;5,09;-0,00415
53,9;5,055;-0,0028
54;5,035;-0,00145
54,1;5,02;0,001
54,199;5,015;0,00025
54,301;5,02;0,0032
54,4;5,03;0,0031
54,499;5,04;0,00365
54,599;5,055;0,00325
54,699;5,08;0,00415
54,8;5,105;0,00515
54,9;5,13;0,0054
55,001;5,16;0,00635
55,1;5,185;0,00545
55,2;5,21;0,0057
55,299;5,235;0,00415
55,4;5,26;0,00445
55,5;5,275;0,00395
55,6;5,285;0,0015
55,699;5,275;-0,0006
55,8;5,27;-0,00075
55,899;5,255;-0,0031
56;5,23;-0,00345
56,1;5,19;-0,005
56,199;5,15;-0,00725
56,3;5,095;-0,0072
56,4;5,04;-0,0083
56,5;4,97;-0,01065
56,6;4,89;-0,0125
56,7;4,79;-0,0151
56,8;4,68;-0,0175
56,9;4,56;-0,0187
57;4,43;-0,0199
57,1;4,295;-0,0213
57,2;4,15;-0,02225
57,3;4,005;-0,0229
57,401;3,855;-0,02175
57,5;3,7;-0,02275
57,6;3,56;-0,0197
57,7;3,44;-0,0182
57,8;3,33;-0,0151
57,9;3,25;-0,0106
58;3,2;-0,0054
58,1;3,18;-0,00025
58,199;3,195;0,00325
58,3;3,24;0,00955
58,4;3,31;0,01205
58,5;3,395;0,0151
58,601;3,505;0,01895
58,7;3,615;0,0195
58,8;3,73;0,01895
58,9;3,85;0,01865
59;3,96;0,01755
59,101;4,065;0,01745
59,201;4,16;0,01525
59,3;4,24;0,01195
59,399;4,305;0,008
59,5;4,355;0,00645
59,599;4,38;0,00165
59,7;4,39;0,0015
59,799;4,385;-0,004
59,9;4,355;-0,00515
60;4,31;-0,00825
60,1;4,25;-0,01075
60,2;4,165;-0,0141
60,3;4,07;-0,0155
60,4;3,955;-0,01945
60,501;3,825;-0,02045
60,6;3,68;-0,02395
60,699;3,53;-0,02615
60,8;3,375;-0,02475
60,9;3,225;-0,02345
61;3,095;-0,01895
61,101;2,985;-0,0149
61,2;2,905;-0,01105
61,299;2,865;-0,0049
61,4;2,865;0,0014
61,5;2,905;0,00765
61,6;2,98;0,01235
61,7;3,085;0,0179
61,8;3,22;0,02145
61,9;3,375;0,0247
61,999;3,545;0,0255
62,099;3,725;0,02675
62,2;3,91;0,0274
62,3;4,09;0,027
62,4;4,265;0,0262
62,5;4,445;0,02665
62,6;4,625;0,0261
62,7;4,79;0,02425
62,8;4,95;0,02295
62,9;5,105;0,02315
63;5,265;0,02315
63,1;5,415;0,0214
63,2;5,555;0,02
63,3;5,69;0,0196
63,4;5,825;0,01965
63,5;5,955;0,0186
63,599;6,085;0,01805
63,7;6,21;0,01755
63,799;6,325;0,01595
63,9;6,43;0,0131
64;6,515;0,0116
64,1;6,58;0,0079
64,201;6,63;0,00585
64,3;6,66;0,0016
64,399;6,67;-0,00135
64,499;6,665;-0,0036
64,6;6,645;-0,0051
64,7;6,62;-0,0063
64,801;6,59;-0,0064
64,9;6,56;-0,0073
65;6,52;-0,00765
65,101;6,49;-0,00645
65,2;6,465;-0,0057
65,3;6,445;-0,00405
65,401;6,44;-0,00195
65,5;6,445;-0,0004
65,6;6,46;0,0012
65,699;6,49;0,0028
65,799;6,525;0,00455
65,9;6,58;0,00585
66;6,63;0,0069
66,1;6,695;0,00825
66,199;6,76;0,00855
66,3;6,83;0,0085
66,399;6,895;0,0085
66,499;6,96;0,00765
66,599;7,02;0,0062
66,699;7,065;0,004
66,8;7,09;0,00085
66,899;7,095;-0,0023
67;7,08;-0,0055
67,1;7,045;-0,00865
67,2;6,995;-0,0113
67,301;6,925;-0,0134
67,401;6,85;-0,01495
67,5;6,755;-0,0174
67,6;6,655;-0,01825
67,7;6,545;-0,0203
67,8;6,425;-0,02145
67,9;6,3;-0,0216
68;6,18;-0,0214
68,099;6,06;-0,02135
68,2;5,94;-0,02095
68,299;5,83;-0,02035
68,4;5,72;-0,01895
68,5;5,615;-0,01855
68,601;5,51;-0,0188
68,701;5,405;-0,01835
68,8;5,305;-0,0184
68,9;5,205;-0,0174
69;5,115;-0,0166
69,1;5,025;-0,0161
69,2;4,94;-0,01575
69,3;4,85;-0,01595
69,4;4,765;-0,0158
69,499;4,685;-0,01515
69,599;4,61;-0,01395
69,7;4,545;-0,01215
69,8;4,49;-0,01105
69,9;4,44;-0,01005
70;4,395;-0,00865
70,099;4,36;-0,0075
70,201;4,33;-0,00625
70,3;4,31;-0,0053
70,4;4,295;-0,0046
70,5;4,285;-0,0042
70,599;4,275;-0,0043
70,699;4,265;-0,00405
70,801;4,255;-0,0041
70,9;4,24;-0,0046
71;4,225;-0,00495
71,1;4,205;-0,00585
71,201;4,175;-0,0075
71,3;4,14;-0,00915
71,4;4,09;-0,01095
71,5;4,03;-0,01335
71,6;3,955;-0,0154
71,699;3,865;-0,0175
71,799;3,76;-0,01965
71,9;3,645;-0,0217
72;3,515;-0,0232
72,1;3,385;-0,0234
72,2;3,255;-0,024
72,299;3,125;-0,0221
72,4;3,01;-0,0195
72,5;2,92;-0,0159
72,601;2,855;-0,011
72,7;2,82;-0,0063
72,8;2,825;-0,00095
72,9;2,855;0,00415
73;2,92;0,00865
73,101;3,005;0,01315
73,2;3,125;0,0171
73,299;3,26;0,01895
73,399;3,405;0,0215
73,5;3,565;0,02235
73,6;3,725;0,02285
73,7;3,89;0,0231
73,799;4,05;0,02275
73,899;4,21;0,02215
74;4,365;0,0219
74,1;4,525;0,02215
74,2;4,68;0,0216
74,3;4,83;0,0201
74,401;4,975;0,0196
74,501;5,115;0,02
74,6;5,26;0,02015
74,7;5,4;0,01935
74,8;5,535;0,01805
74,9;5,67;0,0181
75;5,805;0,0184
75,1;5,94;0,0184
75,199;6,07;0,0181
75,299;6,2;0,0182
75,4;6,33;0,0166
75,5;6,44;0,01385
75,6;6,54;0,0118
75,699;6,62;0,0092
75,8;6,68;0,0053
75,9;6,715;0,00155
75,999;6,73;-0,00075
76,1;6,73;-0,00395
76,2;6,71;-0,00665
76,3;6,675;-0,00895
76,399;6,635;-0,0102
76,5;6,585;-0,0108
76,6;6,525;-0,01175
76,7;6,47;-0,01195
76,801;6,415;-0,01135
76,9;6,365;-0,01015
77;6,325;-0,00805
77,1;6,3;-0,0056
77,2;6,29;-0,0032
77,299;6,295;-0,00015
77,4;6,32;0,00165
77,499;6,355;0,0047
77,6;6,405;0,00595
77,7;6,47;0,0085
77,799;6,545;0,0103
77,899;6,625;0,01145
78;6,71;0,0116
78,101;6,8;0,01105
78,2;6,885;0,01165
78,3;6,975;0,0109
78,4;7,055;0,00935
78,499;7,12;0,00785
78,6;7,16;0,0025
78,7;7,17;-0,0024
78,8;7,155;-0,00625
78,9;7,115;-0,01025
79;7,055;-0,0135
79,1;6,97;-0,0162
79,201;6,87;-0,0187
79,301;6,76;-0,021
79,401;6,64;-0,02185
79,5;6,515;-0,0233
79,601;6,37;-0,0249
79,7;6,24;-0,0235
79,8;6,1;-0,0237
79,9;5,965;-0,0232
80;5,835;-0,0223
80,099;5,71;-0,02025
80,199;5,59;-0,02125
80,3;5,46;-0,02155
80,399;5,34;-0,0207
80,499;5,215;-0,0198
80,599;5,1;-0,01905
80,699;4,98;-0,019
80,8;4,86;-0,0212
80,9;4,735;-0,02145
81;4,615;-0,0205
81,1;4,495;-0,02015
81,2;4,385;-0,0193
81,3;4,275;-0,0183
81,401;4,17;-0,0184
81,501;4,07;-0,01705
81,6;3,985;-0,01475
81,7;3,91;-0,01285
81,8;3,845;-0,01045
81,899;3,8;-0,00835
82;3,765;-0,00615
82,101;3,735;-0,0049
82,2;3,725;-0,00335
82,3;3,725;-0,00155
82,4;3,72;-0,00095
82,5;3,725;-0,00085
82,6;3,725;-0,0012
82,7;3,72;-0,0019
82,8;3,71;-0,00235
82,899;3,7;-0,00295
83;3,68;-0,0036
83,1;3,66;-0,0045
83,2;3,635;-0,0051
83,301;3,6;-0,0076
83,4;3,56;-0,0089
83,499;3,51;-0,00885
83,6;3,46;-0,00945
83,699;3,4;-0,01015
83,801;3,34;-0,01125
83,9;3,28;-0,0098
83,999;3,22;-0,0097
84,1;3,165;-0,0089
84,2;3,12;-0,00695
84,3;3,09;-0,0045
84,399;3,07;-0,0002
84,5;3,07;0,0008
84,601;3,09;0,00225
84,701;3,12;0,00495
84,8;3,17;0,0083
84,901;3,235;0,00895
85;3,305;0,0116
85,099;3,385;0,01495
85,201;3,475;0,0141
85,3;3,575;0,01605
85,4;3,68;0,01675
85,5;3,785;0,0171
85,599;3,89;0,01855
85,7;4;0,01695
85,8;4,105;0,0169
85,901;4,205;0,01465
86;4,3;0,01555
86,1;4,39;0,01445
86,199;4,48;0,0141
86,3;4,56;0,0135
86,4;4,64;0,01265
86,5;4,71;0,0109
86,6;4,765;0,0088
86,699;4,81;0,0081
86,799;4,84;0,00605
86,899;4,86;0,00275
87;4,865;-0,0006
87,1;4,855;-0,0026
87,2;4,83;-0,0033
87,3;4,8;-0,00485
87,4;4,75;-0,00745
87,499;4,68;-0,01015
87,6;4,6;-0,01275
87,7;4,5;-0,01455
87,8;4,39;-0,017
87,899;4,265;-0,0195
88;4,125;-0,02165
88,099;3,97;-0,0237
88,2;3,805;-0,0253
88,3;3,625;-0,02655
88,4;3,45;-0,0263
88,499;3,28;-0,0244
88,6;3,125;-0,021
88,699;3;-0,01635
88,8;2,91;-0,01015
88,901;2,86;-0,0046
89;2,86;0,0037
89,101;2,9;0,0094
89,201;2,98;0,01495
89,3;3,095;0,02225
89,399;3,24;0,0263
89,499;3,41;0,03
89,6;3,595;0,0311
89,699;3,785;0,03245
89,8;3,98;0,0323
89,9;4,17;0,03175
89,999;4,35;0,0314
90,099;4,54;0,03165
90,2;4,725;0,0297
90,3;4,895;0,02795
90,4;5,055;0,02745
90,499;5,215;0,02735
90,6;5,37;0,02565
90,701;5,515;0,02335
90,8;5,645;0,02305
90,901;5,785;0,02245
91;5,91;0,02215
91,1;6,03;0,02035
91,2;6,15;0,0199
91,3;6,26;0,019
91,4;6,36;0,0171
91,5;6,445;0,01395
91,6;6,51;0,01145
91,699;6,56;0,00925
91,8;6,595;0,00615
91,9;6,615;0,00385
92;6,615;0,002
92,1;6,61;0,0005
92,199;6,6;-0,0002
92,299;6,58;-0,00065
92,4;6,565;-0,001
92,5;6,545;-0,0009
92,601;6,53;-0,00035
92,7;6,52;0,0007
92,799;6,52;0,0026
92,899;6,53;0,0041
92,999;6,545;0,0052
93,1;6,565;0,00625
93,2;6,6;0,0073
93,3;6,635;0,00815
93,399;6,68;0,0096
93,5;6,73;0,0108
93,599;6,785;0,0111
93,7;6,84;0,01095
93,8;6,9;0,0108
93,899;6,955;0,0103
94;7;0,00925
94,1;7,04;0,00705
94,2;7,06;0,0045
94,3;7,065;0,0017
94,4;7,055;-0,0005
94,499;7,025;-0,00295
94,599;6,98;-0,00545
94,7;6,92;-0,0078
94,8;6,855;-0,0091
94,901;6,775;-0,0111
95;6,69;-0,01235
95,1;6,595;-0,01345
95,2;6,485;-0,0151
95,301;6,37;-0,0163
95,4;6,26;-0,01555
95,499;6,145;-0,0152
95,6;6,035;-0,0154
95,7;5,925;-0,0148
95,801;5,82;-0,0142
95,9;5,725;-0,01275
96;5,63;-0,0122
96,1;5,54;-0,01205
96,2;5,445;-0,0119
96,3;5,36;-0,01155
96,399;5,275;-0,0106
96,5;5,2;-0,00895
96,6;5,13;-0,0085
96,7;5,07;-0,00735
96,8;5,01;-0,00615
96,9;4,96;-0,00575
97;4,915;-0,0042
97,1;4,88;-0,0028
97,199;4,85;-0,0015
97,3;4,83;-0,0001
97,4;4,825;0,00115
97,5;4,815;0,002
97,601;4,82;0,0027
97,7;4,825;0,00325
97,8;4,83;0,0033
97,9;4,835;0,0033
98;4,84;0,00325
98,099;4,845;0,00305
98,2;4,84;0,00165
98,3;4,835;0,00105
98,4;4,825;0,00045
98,499;4,81;0
98,6;4,785;-0,0011
98,7;4,755;-0,00255
98,8;4,72;-0,00415
98,899;4,665;-0,00615
99,001;4,6;-0,0086
99,1;4,525;-0,01035
99,2;4,435;-0,01205
99,301;4,33;-0,01495
99,4;4,215;-0,0169
99,499;4,08;-0,0197
99,599;3,925;-0,02195
99,701;3,76;-0,02445
99,8;3,585;-0,0254
99,9;3,41;-0,0255
99,999;3,23;-0,02405
100,1;3,075;-0,02115
100,2;2,94;-0,01665
100,3;2,845;-0,01085
100,4;2,78;-0,0037
100,5;2,775;0,0035
100,6;2,81;0,0108
100,699;2,88;0,0171
100,8;2,995;0,0227
100,9;3,145;0,0278
101;3,315;0,031
101,099;3,5;0,033
101,2;3,705;0,03455
101,3;3,905;0,0347
101,4;4,11;0,0345
101,501;4,305;0,034
101,6;4,505;0,03495
101,699;4,7;0,0331
101,8;4,89;0,03185
101,9;5,075;0,03225
102;5,265;0,0325
102,101;5,45;0,03085
102,2;5,625;0,03045
102,3;5,8;0,031
102,4;5,98;0,0306
102,5;6,16;0,0314
102,599;6,34;0,03
102,7;6,5;0,02775
102,799;6,645;0,02385
102,9;6,775;0,02125
103,001;6,88;0,0175
103,1;6,95;0,0121
103,2;6,99;0,006
103,3;6,99;0,0008
103,401;6,96;-0,0038
103,5;6,9;-0,0084
103,599;6,82;-0,01195
