LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID1358137,1358137,3,0.8940829038619995,1530.7459625255988,711.5770529918183,0.0,92.0,92,20.0,1,,83.31683168316832,0.0,0.0,255.0,109395.0,119.64530977405585,0.8941354493448975,0.657444876270077
ID1358142,1358142,3,0.9393362998962402,1520.5877944222223,746.2441413396917,0.0,94.0,94,20.0,1,,85.84158415841584,0.0,0.0,255.0,112710.0,120.54830605450373,0.9067620586198938,0.6772725056568147
ID1358147,1358147,3,0.93288254737854,1515.0260414980446,762.2514472587761,0.0,95.0,95,20.0,1,,84.28789032749428,0.0,0.0,255.0,110670.0,119.99971156423783,0.9051249164513973,0.6674212664288202
ID1358153,1358153,3,1.031599760055542,1445.283778211581,865.1389052000375,0.0,102.0,102,20.0,1,,89.92003046458493,0.0,0.0,255.0,118065.0,121.8823609509372,0.9698279328801999,0.72646045710759
ID1358159,1358159,3,1.0185487270355225,1468.7995916882294,841.5326059137509,0.0,100.0,100,20.0,1,,89.33739527798934,0.0,0.0,255.0,117300.0,121.70105170538999,0.9569006548605754,0.7179050752732916
ID1358164,1358164,3,1.002199649810791,1480.716606532175,826.3674945682415,0.0,99.0,99,20.0,1,,87.78370144706778,0.0,0.0,255.0,115260.0,121.20253210652328,0.9504533251055206,0.7058743880059436
ID1358169,1358169,3,1.0195480585098267,1457.805784398912,853.1248960313598,0.0,101.0,101,20.0,1,,89.53160700685453,0.0,0.0,255.0,117555.0,121.76182812501264,0.9654450950720441,0.722373623057586
ID1358174,1358174,3,0.9716386198997498,1500.9668221782078,795.9417625841669,0.0,97.0,97,20.0,1,,88.75476009139375,0.0,0.0,255.0,116535.0,121.5166762894091,0.9287368125110587,0.7034050116723701
ID1358178,1358178,3,0.9538339972496033,1507.4326796547034,781.4644139442594,0.0,96.0,96,20.0,1,,85.84158415841584,0.0,0.0,255.0,112710.0,120.54830605450373,0.9165343713981254,0.6810809784035329
ID1358184,1358184,3,1.0239529609680176,1492.33654329456,810.2477171451045,0.0,98.0,98,20.0,1,,90.50266565118051,0.0,0.0,255.0,118830.0,122.06061768955168,0.9409240934698979,0.7188890051722396
